"Catégorie";"Question (Scénario)";"Ma Bonne Réponse / L'essence (Ce qui marche en entretien)"
"Fondamentaux";"Quelle différence d'usage entre Canonical et 301 ?";"La 301 est une directive stricte (force bot et user) quand une URL est inutile. La Canonical est une indication (soft hint) quand des variantes doivent exister pour le user (ex: filtres) mais qu'on veut consolider la valeur SEO sur une seule. Pour HTTP vers HTTPS, toujours 301."
"Fondamentaux";"Quel est l'intérêt du noindex face au blocage robots.txt (et l'impact crawl budget) ?";"Le robots.txt bloque l'exploration mais n'empêche pas l'indexation (si liens entrants). Le noindex force l'exploration au début (consomme du budget) pour nettoyer l'index des pages inutiles (thin content). À très long terme, Google réduit naturellement son crawl, ce qui préserve in fine le Crawl Budget et l'autorité globale du site (EEAT)."
"Technique Avancée";"Quelle est la différence entre Robots Meta Tag et X-Robots-Tag ?";"Même effet (bloquer indexation/liens). Le Meta Tag est dans le code HTML (limité aux pages web). Le X-Robots-Tag est dans l'en-tête serveur (HTTP) et permet de bloquer des fichiers non-HTML (PDF, images, etc.)."
"Cas Pratique Technique";"Quel est le risque à long terme de mettre des pages de pagination en noindex ?";"Le « Crawl Decay ». Google finit par assimiler un noindex prolongé à un nofollow. En arrêtant de crawler la pagination, il arrête de découvrir les produits profonds, ce qui crée des pages orphelines et entraîne leur désindexation ou perte de ranking."
"Cas Pratique Technique";"Sitemap avec URL A, Canonical vers B, mais B est bloqué par robots.txt. Comment réagit Googlebot ?";"C'est incohérent. Googlebot va crawler A (via Sitemap), voir la canonical vers B, mais ne pourra pas la vérifier à cause du robots.txt. Conséquence : Google ignorera la canonical et gardera A indexé contre notre volonté."
"Cas Pratique Technique";"Un dev React remplace les liens <a href> par des <div onClick>. Quel est le problème ?";"Même si Google rend le JS (WRS), Googlebot est « stateless » et n'interagit pas avec la page (zéro clic). Sans l'attribut HTML natif <a href>, le lien est invisible pour l'extracteur, ce qui isole totalement les pages (pages orphelines)."
"Data & Analyse";"Pourquoi analyser les logs serveurs quand la Search Console (GSC) est au vert ?";"La GSC donne une vue agrégée. Les logs montrent la vérité brute : on peut voir exactement comment Googlebot alloue le Crawl Budget, identifier le gaspillage (Crawl Waste sur des facettes inutiles) et vérifier si les pages business prioritaires sont réellement crawlées."
"Diagnostic (Soft Skill)";"Un client perd 30% de trafic ce week-end. Quelles sont tes premières vérifications ?";"1. Écarter les erreurs bêtes : le tracking (tag cassé ?) et la saisonnalité (jour férié/pont). 2. Mapper d'où vient la perte (CA, typologie de pages, mots-clés) pour évaluer l'impact business. 3. Vérifier les bugs serveurs ou les updates Google."
"Stratégie Sémantique";"Le client veut ranker un article de blog à la place de sa page catégorie (cannibalisation). Comment gères-tu ?";"On lui explique l'Intention de Recherche (Google attend une page transactionnelle). On utilise l'article pour cibler le top funnel (informationnel), et on s'en sert comme page pilier pour pousser la page catégorie via un maillage interne fort."
"Posture Agence";"Un client lance une refonte de site demain matin sans aucune redirection 301. Quelle est ta posture ?";"Alerte business absolue. Sans 301, le nouveau site sera une coquille vide, l'historique SEO est effacé. Je chiffre la perte de CA et je le préviens formellement par écrit (pour protéger l'agence) que s'il lance, il assume le crash de son business."
"Inbound Marketing";"Le client veut cibler un mot-clé avec 0 volume (un concept qu'il a inventé). Que proposes-tu ?";"Au lieu de chercher à capturer une demande inexistante, on va générer la demande (Top Funnel). On cible les vrais problèmes des Personas, on crée du contenu dessus, et on y intègre son concept innovant comme solution (stratégie Awareness)."
"Méthodologie";"C'est quoi la différence entre un bon et un mauvais audit SEO ?";"Un mauvais audit est un export technique PDF de 100 pages, inexploitable. Un bon audit est centré sur le Business : c'est une roadmap priorisée (Impact vs Effort), qui commence par les « Quick Wins » pour rassurer le client et générer du ROI rapide."
"Méthodologie";"Un client stagne depuis 2 ans, tu reprends le dossier (feuille blanche). Quelle est ta 1ère action ?";"Comprendre les enjeux business et faire un reverse engineering de la SERP concurrentielle : que font ceux qui montent ? Ensuite, chasser ce qui tire le site vers le bas : dette technique, cannibalisation, et faire du Content Pruning (nettoyage)."
"ROI & Priorisation";"Tu as 1000€. Tu corriges 500 pages 404 ou tu achètes 2 gros backlinks ?";"Les 404 se gèrent en 1h sans budget via des règles Regex. Le budget de 1000€ doit aller directement dans les backlinks ciblés (surtout avant un pic de saisonnalité) car c'est là qu'est le vrai levier de croissance ROI."
"Vision SEO (Futur)";"Est-ce que l'IA va tuer le SEO traditionnel ?";"Le support change, l'intention reste. On passe des 10 liens bleus à des réponses génératives (GEO), mais il faudra toujours optimiser pour que notre client soit la réponse. Le métier mute en « Search Everywhere Optimization » (Google, Amazon, TikTok, Reddit)."
